_from,to,score
abrir,duda,3
abrir,mecanismo,1
abrir,respecto,2
abstracto,cambio,3
abstracto,debate,1
abstracto,desarrollo,2
acabar,denuncia,2
acabar,empeorar,3
acabar,penal,1
acabar,ratificar,3
acabar,seguridad,2
acertado,embargo,1
acertado,falla,3
acertado,sistema,2
aclarar,fracasar,2
aclarar,socialismo,3
actuar,agregar,1
actuar,ciudadano,3
actuar,oficio,3
actuar,participar,2
acueducto,alcantarillado,3
acueducto,infraestructura,2
acueducto,vial,1
acuerdo,carta,3
acuerdo,citar,1
acuerdo,dar,3
acuerdo,elemento,1
acuerdo,gobierno,1
acuerdo,impulso,2
acuerdo,magno,2
acuerdo,posicion,3
acuerdo,radical,2
acumular,manejar,3
acumular,pais,1
acumular,problema,2
acusaciones,camara,3
acusaciones,denuncia,1
acusaciones,representantes,2
adelantar,ademas,1
adelantar,esclarecer,2
adelantar,investigacion,3
ademas,afirmar,3
ademas,prueba,2
ademas,suficiente,1
adicional,fiscalia,3
adicional,prueba,2
adicional,suficiente,1
administrador,incompetente,3
administrador,paranoico,1
administrador,personalidad,2
afectar,opinion,2
afectar,publico,1
afectar,voltear,3
afirmar,actuar,1
afirmar,prueba,3
afirmar,suficiente,2
agitador,brillante,2
agitador,politico,3
agitador,resultar,1
agosto,ano,3
agosto,asegurar,1
agosto,pasado,2
agua,declaracion,1
agua,luego,3
agua,reciente,2
alcantarillado,german,1
alcantarillado,infraestructura,3
alcantarillado,vial,2
alejandro,carlos,1
alejandro,gaviria,3
alejandro,juan,2
alertar,consecuencia,2
alertar,critica,1
alertar,posible,3
alfonso,lleras,1
alfonso,lopez,3
alfonso,pumarejo,2
alvaro,igualmente,2
alvaro,ministro,1
alvaro,uribe,3
ano,asegurar,2
ano,corrupto,2
ano,elite,3
ano,interesado,1
ano,luego,1
ano,pasado,3
anterior,siempre,1
anterior,significar,3
anterior,tecnocrata,2
antonio,economia,2
antonio,funcionar,1
antonio,navarro,3
apoyo,campana,3
apoyo,pesos,1
apoyo,petro,2
aprobado,obrera,1
aprobado,sindical,2
aprobado,union,3
aprobar,critico,3
aprobar,deber,2
aprobar,derecha,2
aprobar,financiado,1
aprobar,mayoria,3
aprobar,pasar,1
archivado,colombiano,3
archivado,necesitar,2
archivado,respuesta,1
asamblea,constituyente,4
asamblea,deber,1
asamblea,funcionario,1
asamblea,nacional,6
asegurar,capturar,2
asegurar,constituyente,3
asegurar,fiscalia,1
asegurar,gobierno,3
asegurar,iniciar,2
asegurar,luego,3
asegurar,meditar,1
asegurar,movilizacion,1
asegurar,nacional,2
atender,constitucional,1
atender,escuchar,3
atender,reforma,2
audio,incluso,1
audio,investigacion,3
audio,laura,3
audio,periodistico,2
audio,publicado,1
audio,sarabia,2
autoridad,electoral,3
ayudar,constitucion,2
ayudar,crear,3
ayudar,deber,1
basar,acertado,2
basar,diagnostico,3
basar,falla,1
bien,alertar,1
bien,calificar,1
bien,experto,2
bien,interior,2
bien,ministro,3
bien,opinion,3
bloqueado,planteamiento,3
bloqueado,siempre,1
bloqueado,taquillero,2
brillante,administrador,2
brillante,incompetente,1
brillante,resultar,3
buscar,cambio,3
buscar,lugar,1
buscar,megalomania,3
buscar,prioridad,2
cabrera,cecilia,3
cabrera,lopez,2
cabrera,opinar,1
calificar,mandatario,1
calificar,propuesta,2
calificar,valioso,3
calle,atender,3
calle,decir,3
calle,escuchar,2
calle,gobernante,2
calle,querer,1
calle,reforma,1
calmar,agua,3
calmar,luego,2
calmar,reciente,1
camara,denuncia,2
camara,presidente,1
camara,representantes,3
cambio,bloqueado,1
cambio,debate,2
cambio,desarrollo,3
cambio,pedir,3
cambio,pueblo,2
cambio,salir,1
camilo,kalmanovitz,1
camilo,restrepo,3
camilo,salomon,2
camino,constitucion,1
camino,constituyente,2
camino,estructura,2
camino,invitar,1
camino,llevar,3
camino,tocar,3
campana,caribe,3
campana,congresista,1
campana,gracias,2
campana,intermediacion,1
campana,partido,1
campana,pesos,2
campana,petro,5
campana,presidencial,9
campana,punto,2
campana,relacionado,1
campana,senalar,2
capitalismo,aclarar,1
capitalismo,fracasar,3
capitalismo,razon,2
capturar,clan,1
capturar,fiscalia,3
capturar,poderoso,2
cardenas,alejandro,3
cardenas,gaviria,2
cardenas,juan,1
caribe,gracias,3
caribe,intermediacion,2
caribe,senador,1
carlos,camilo,1
carlos,echeverry,3
carlos,juan,2
carta,asamblea,1
carta,citar,2
carta,magno,3
cecilia,lopez,3
cecilia,opinar,2
cecilia,servicio,1
ceder,buscar,1
ceder,exguerrillero,2
ceder,privilegio,3
central,desarrollado,1
central,equidad,3
central,suficientemente,2
centro,comision,2
centro,democratico,6
centro,encontrar,1
centro,martes,1
centro,ratificar,2
chantajeado,mermelada,3
chantajeado,razon,1
chantajeado,verdadero,2
citar,asamblea,3
citar,constituyente,1
citar,nacional,2
ciudadano,actuar,3
ciudadano,agregar,2
ciudadano,ciudadano,2
ciudadano,participar,4
clan,evento,1
clan,financiar,3
clan,varios,2
clase,acabar,2
clase,delincuente,3
clase,empeorar,1
clase,obsoleto,2
clase,petro,1
clase,realista,3
colombia,ano,2
colombia,ceder,2
colombia,chantajeado,1
colombia,congresista,3
colombia,debate,3
colombia,derecho,1
colombia,dispuesto,3
colombia,elite,1
colombia,gobernado,3
colombia,gobierno,2
colombia,izquierda,2
colombia,privilegio,1
colombia,terminar,1
colombia,transformador,3
colombia,votar,2
colombiano,agregar,1
colombiano,constitucion,2
colombiano,creer,1
colombiano,decidir,2
colombiano,defender,3
colombiano,mismo,1
colombiano,necesitar,3
colombiano,president,2
colombiano,realizar,1
colombiano,respuesta,2
colombiano,verdad,3
colombiano,votacion,3
comenzar,exguerrillero,1
comenzar,petro,2
comenzar,problema,3
comision,acusaciones,3
comision,audio,2
comision,camara,2
comision,encontrar,3
comision,investigacion,1
comision,representantes,1
comprometer,energetico,1
comprometer,futuro,2
comprometer,solo,3
concepto,abstracto,3
concepto,cambio,2
concepto,desarrollo,1
confesion,audio,1
confesion,nicolas,3
confesion,petro,2
congresista,chantajeado,2
congresista,mermelada,1
congresista,votar,3
congreso,aprobar,3
congreso,deber,1
congreso,mayoria,2
conocedor,considerar,1
conocedor,orden,3
conocedor,publico,2
conocimiento,day,2
conocimiento,revelacion,3
conocimiento,vasquez,1
consecuencia,colombiano,2
consecuencia,convocar,3
consecuencia,critica,3
consecuencia,reforma,2
consecuencia,salud,1
consecuencia,votacion,1
considerar,exceso,1
considerar,paz,3
considerar,total,2
constitucion,asamblea,2
constitucion,calle,1
constitucion,central,2
constitucion,convocar,3
constitucion,cualquiera,1
constitucion,deber,7
constitucion,decir,3
constitucion,equidad,1
constitucion,gustavo,2
constitucion,ley,3
constitucion,mismo,3
constitucion,nacional,1
constitucion,pesar,2
constitucion,petro,1
constitucion,regla,3
constitucion,respetuoso,2
constitucion,supuesto,2
constitucion,tema,3
constitucional,constitucion,3
constitucional,decir,2
constitucional,evaluar,3
constitucional,legalidad,2
constitucional,mismo,1
constitucional,pesar,1
constituyente,actuar,1
constituyente,calmar,1
constituyente,ciudadano,2
constituyente,deber,3
constituyente,funcionario,3
constituyente,iniciar,3
constituyente,intentar,2
constituyente,invitar,3
constituyente,ley,1
constituyente,menos,1
constituyente,mirar,2
constituyente,movilizacion,2
constituyente,permanente,3
constituyente,pueblo,1
constituyente,radicar,2
contenido,asegurar,3
contenido,constituyente,2
contenido,iniciar,1
convocar,asamblea,3
convocar,colombiano,3
convocar,constituyente,1
convocar,decidir,1
convocar,nacional,2
convocar,votacion,2
corrupto,enriquecer,1
corrupto,interesado,3
corrupto,solamente,2
corte,constitucional,3
corte,evaluar,2
corte,legalidad,1
crear,colombia,2
crear,constitucion,3
crear,deber,2
crear,gobernado,1
crear,respetuoso,1
crear,segun,3
credibilidad,acumular,2
credibilidad,experiencia,3
credibilidad,manejar,1
creer,capitalismo,3
creer,colombiano,1
creer,fracasar,2
creer,gobernar,3
creer,necesariamente,1
creer,parte,2
creer,pobre,2
creer,razon,1
creer,tercero,3
critica,laboral,1
critica,reforma,3
critica,salud,2
critico,acumular,1
critico,credibilidad,3
critico,derecha,3
critico,dueno,1
critico,experiencia,2
critico,financiado,2
cualquiera,deber,2
cualquiera,gobierno,3
cualquiera,respetar,1
cuasi,capitalismo,1
cuasi,creer,2
cuasi,marxista,3
cuestionamiento,campana,3
cuestionamiento,presidencial,2
cuestionamiento,punto,1
cumplimiento,colombiano,1
cumplimiento,juridico,2
cumplimiento,ordenamiento,3
danino,comenzar,3
danino,petro,1
danino,problema,2
dar,cumplimiento,3
dar,elemento,2
dar,impulso,3
dar,juridico,1
dar,ordenamiento,2
dar,presidente,1
dar,pueblo,2
dar,solamente,3
day,confesion,2
day,nicolas,1
day,vasquez,3
debate,derecho,2
debate,flote,2
debate,izquierda,3
debate,riesgo,1
debate,salir,3
debate,sonador,1
deber,congreso,1
deber,constitucional,1
deber,corte,2
deber,cualquiera,2
deber,decir,2
deber,gobierno,2
deber,ley,2
deber,pasar,3
deber,radicar,3
deber,regla,5
deber,respetar,6
deber,respetuoso,3
deber,velasco,1
decidir,realizar,3
decir,calle,2
decir,camino,3
decir,constituyente,1
decir,decir,1
decir,desear,1
decir,gobernante,3
decir,llevar,2
decir,pesar,3
decir,querer,2
decir,radio,2
decir,velasco,3
declaracion,adicional,3
declaracion,fiscalia,2
declaracion,gustavo,2
declaracion,hijo,3
declaracion,jefe,1
declaracion,mayor,2
declaracion,petro,1
declaracion,presidente,3
declaracion,prueba,1
defender,constitucion,3
defender,gustavo,1
defender,mismo,2
defensor,interes,3
defensor,oponer,1
defensor,particular,2
delincuente,acabar,3
delincuente,empeorar,2
delincuente,seguridad,1
democratico,audio,1
democratico,comision,4
democratico,encontrar,2
democratico,martes,2
democratico,ratificar,3
demostrar,financiacion,3
demostrar,narco,1
demostrar,parte,2
denuncia,gustavo,3
denuncia,penal,3
denuncia,petro,1
denuncia,presidente,5
derecha,actualidad,3
derecha,colombia,1
derecha,dueno,2
derecha,financiado,3
derecho,economista,1
derecho,realista,2
derecho,sonador,3
desarrollado,acuerdo,1
desarrollado,intentar,2
desarrollado,sociedad,3
desarrollo,debate,3
desarrollo,flote,1
desarrollo,salir,2
desear,ministro,2
desear,puntualizar,3
despues,concepto,1
despues,entusiasmo,3
despues,inicial,2
destinado,electoral,1
destinado,pago,3
destinado,testigo,2
destruir,archivado,2
destruir,colombiano,1
destruir,engavetar,3
dia,autoridad,1
dia,eleccion,3
dia,reportar,2
diagnostico,acertado,3
diagnostico,falla,2
diagnostico,sistema,1
dialogo,camino,1
dialogo,decir,2
dialogo,rcn,3
diferente,comunicacion,2
diferente,medio,3
disparado,estancamiento,2
disparado,mitad,3
disparado,pib,1
dispuesto,ceder,3
dispuesto,exguerrillero,1
dispuesto,privilegio,2
duda,mecanismo,2
duda,respecto,3
duda,usar,1
dueno,ceder,1
dueno,colombia,6
dueno,congresista,2
dueno,dispuesto,2
dueno,votar,1
echeverry,camilo,2
echeverry,juan,3
echeverry,restrepo,1
economia,funcionar,3
economia,mejor,2
economia,polarizacion,1
economico,conocedor,2
economico,igualmente,3
economico,orden,1
economista,acuerdo,2
economista,posicion,1
economista,serio,3
ecopetrol,obstante,1
ecopetrol,pesos,2
ecopetrol,valor,3
efectista,comenzar,2
efectista,danino,3
efectista,problema,1
eleccion,autoridad,2
eleccion,electoral,1
eleccion,reportar,3
electoral,dia,3
electoral,eleccion,2
electoral,reportar,1
elegir,constitucion,2
elegir,ley,1
elegir,regla,3
elemento,adelantar,2
elemento,conocimiento,2
elemento,constituyente,1
elemento,hablar,2
elemento,investigacion,1
elemento,necesario,3
elemento,presidente,3
elemento,publico,3
elemento,revelacion,1
elite,corrupto,3
elite,interesado,2
elite,solamente,1
embargo,credibilidad,1
embargo,critico,2
embargo,enmarcada,1
embargo,mayoria,3
embargo,siempre,2
embargo,solucion,3
empeorar,seguridad,3
encontrar,aprobado,2
encontrar,audio,3
encontrar,giro,3
encontrar,investigacion,2
encontrar,periodistico,1
encontrar,union,1
encuesta,nadies,1
encuesta,presidente,3
encuesta,querer,2
energetico,economico,1
energetico,estabilidad,2
energetico,pais,3
engavetar,archivado,3
engavetar,colombiano,2
engavetar,necesitar,1
enmarcada,clase,1
enmarcada,lucha,2
enmarcada,optica,3
enorme,gobierno,1
enorme,mayoria,3
enorme,propuesta,2
enriquecer,perpetuar,3
entender,gustavo,3
entender,petro,2
entregar,centro,2
entregar,democratico,1
entregar,senador,3
entusiasmo,abstracto,1
entusiasmo,concepto,2
entusiasmo,inicial,3
episodio,campana,2
episodio,mira,3
episodio,presidencial,1
equidad,desarrollado,2
equidad,sociedad,1
equidad,suficientemente,3
equivocado,critico,1
equivocado,embargo,3
equivocado,mayoria,2
esclarecer,ademas,3
esclarecer,afirmar,2
esclarecer,prueba,1
escuchar,constitucion,1
escuchar,constitucional,2
escuchar,reforma,3
estabilidad,conocedor,1
estabilidad,economico,3
estabilidad,igualmente,2
establecido,asamblea,1
establecido,constitucion,3
establecido,convocar,2
estancamiento,factor,1
estancamiento,obedecer,2
estancamiento,pib,3
estructura,constitucion,3
estructura,deber,2
estructura,regla,1
estudiar,equivocado,1
estudiar,pais,2
estudiar,problema,3
evaluar,consecuencia,1
evaluar,legalidad,3
evaluar,mismo,2
evento,campana,3
evento,caribe,2
evento,gracias,1
evidente,conocimiento,1
evidente,elemento,3
evidente,publico,2
exceso,clase,2
exceso,delincuente,1
exceso,generosidad,3
exguerrillero,antonio,2
exguerrillero,buscar,3
exguerrillero,cambio,2
exguerrillero,navarro,1
exguerrillero,presidente,3
exito,acertado,1
exito,basar,3
exito,diagnostico,2
experiencia,acumular,3
experiencia,manejar,2
experiencia,problema,1
experto,alertar,3
experto,consecuencia,1
experto,posible,2
explicacion,narrativa,3
explicacion,petro,2
explicacion,red,1
exploracion,comprometer,3
exploracion,futuro,1
exploracion,solo,2
factor,internacional,3
factor,mitad,2
factor,nombre,1
falla,embargo,2
falla,sistema,3
falla,solucion,1
fernando,asegurar,2
fernando,gobierno,1
fernando,velasco,3
financiacion,campana,1
financiacion,irregular,3
financiacion,narco,2
financiacion,parte,3
financiacion,top,1
financiacion,violacion,2
financiado,colombia,2
financiado,congresista,1
financiado,dueno,3
financiar,campana,1
financiar,evento,2
financiar,varios,3
firmado,oscar,3
firmado,pinto,1
firmado,sanchez,2
fiscalia,clan,2
fiscalia,demostrar,1
fiscalia,financiar,1
fiscalia,poderoso,3
fiscalia,prueba,3
fiscalia,suficiente,2
flote,enorme,2
flote,mayoria,1
flote,riesgo,3
forma,asegurar,2
forma,constituyente,1
forma,contenido,3
fracasar,aclarar,2
fracasar,razon,3
fracasar,socialismo,1
frente,prevencion,1
frente,privado,2
frente,sector,3
funcionar,disparado,1
funcionar,mejor,3
funcionar,polarizacion,2
funcionario,agua,1
funcionario,calmar,2
funcionario,intentar,3
fundamental,cumplimiento,2
fundamental,dar,3
fundamental,ordenamiento,1
futuro,energetico,3
futuro,estabilidad,1
futuro,nadies,3
futuro,nunca,1
futuro,pais,4
gaviria,carlos,2
gaviria,echeverry,1
gaviria,juan,3
generosidad,acabar,1
generosidad,clase,3
generosidad,delincuente,2
german,derecha,1
german,simbolo,2
german,vargas,3
giro,aprobado,3
giro,sindical,1
giro,union,2
gobernado,ano,3
gobernado,corrupto,1
gobernado,elite,2
gobernante,desear,2
gobernante,puntualizar,1
gobernante,querer,3
gobernar,lejos,2
gobernar,necesariamente,2
gobernar,pobre,6
gobernar,queir,1
gobernar,segun,1
gobierno,constitucion,1
gobierno,deber,3
gobierno,elegir,3
gobierno,hilario,1
gobierno,jose,2
gobierno,licencia,1
gobierno,meditar,2
gobierno,nacional,3
gobierno,nuevo,2
gobierno,otorgar,3
gobierno,politico,1
gobierno,proyecto,2
gobierno,regla,2
gobierno,respetar,2
gobierno,saltar,1
gobierno,solo,3
gobierno,terminar,3
gracias,intermediacion,3
gracias,pedro,1
gracias,senador,2
grande,interes,3
grande,preocupado,1
grande,privado,2
gustavo,abrir,2
gustavo,destruir,1
gustavo,duda,1
gustavo,elemento,1
gustavo,evidente,2
gustavo,financiacion,1
gustavo,petro,15
gustavo,presunto,2
gustavo,pretender,2
habito,extrano,2
habito,trabajo,3
hablar,ciudadano,1
hablar,constituyente,3
hablar,permanente,2
hijo,jefe,2
hijo,mayor,3
hijo,nicolas,1
hilario,alfonso,2
hilario,lopez,4
historia,colombia,3
historia,dar,2
historia,gobierno,1
historia,solamente,1
historia,transformador,2
historia,veredicto,3
idea,cumplimiento,1
idea,dar,2
idea,fundamental,3
igualmente,camino,3
igualmente,conocedor,3
igualmente,estructura,1
igualmente,ministro,3
igualmente,nadies,2
igualmente,orden,2
igualmente,publico,1
igualmente,tocar,2
igualmente,vivienda,1
impulso,elemento,3
impulso,hablar,1
impulso,presidente,2
incluso,adicional,2
incluso,declaracion,3
incluso,fiscalia,1
incompetente,paranoico,2
incompetente,pendenciero,1
incompetente,personalidad,3
informe,firmado,2
informe,oscar,1
informe,tesoreria,3
infraestructura,german,2
infraestructura,vargas,1
infraestructura,vial,3
inicial,abstracto,2
inicial,cambio,1
inicial,concepto,3
iniciar,movilizacion,3
iniciar,pueblo,2
institucion,ayudar,3
institucion,constitucion,1
institucion,crear,2
intentar,acuerdo,3
intentar,agua,2
intentar,calmar,3
intentar,dar,2
intentar,impulso,1
intentar,luego,1
interes,futuro,1
interes,oponer,2
interes,particular,3
interes,preocupado,2
interes,privado,3
interes,reforma,1
interesado,enriquecer,2
interesado,perpetuar,1
interesado,solamente,3
interior,calificar,3
interior,fernando,2
interior,luis,3
interior,propuesta,1
